Word,Score
slate,99.47300215982722
tease,97.69330453563715
cease,97.63282937365011
erase,96.91576673866092
sleet,96.39740820734342
stare,96.23326133909288
share,96.19006479481642
sense,95.8012958963283
saute,95.61123110151189
scree,95.60259179265658
spree,95.55939524838013
crane,95.4902807775378
saner,95.46436285097192
snare,95.33477321814256
stale,95.11015118790496
shale,95.06695464362852
lease,94.97192224622032
crate,94.96328293736501
state,94.20302375809936
sauce,93.99568034557234
slice,93.42548596112312
trace,93.40820734341253
raise,93.31317494600432
arise,93.26997840172785
arose,93.036717062635
tepee,92.87257019438445
melee,92.86393088552917
scare,92.45788336933046
spare,92.41468682505399
suite,92.21598272138229
peace,91.78401727861771
shire,91.75809935205183
elate,91.64578833693307
store,91.56803455723542
shore,91.52483801295897
scale,91.33477321814254
eerie,91.26565874730022
sheet,91.08423326133911
crone,90.82505399568035
steer,90.82505399568035
sheer,90.7818574514039
terse,90.7818574514039
snore,90.6695464362851
trite,90.59179265658747
brace,90.5745140388769
crier,90.5745140388769
saint,90.52267818574514
slave,90.47948164146868
three,90.47948164146868
stole,90.4449244060475
shine,90.2548596112311
seize,90.1598272138229
stone,90.06479481641469
shone,90.02159827213822
rarer,90.01295896328294
grate,89.9438444924406
sneer,89.92656587473003
blare,89.81425485961122
surer,89.77969762419008
serve,89.77969762419006
irate,89.5550755939525
puree,89.5377969762419
siege,89.3477321814255
teary,89.28725701943844
geese,89.19222462203024
payee,89.17494600431965
slide,89.11447084233262
trade,89.09719222462203
trice,88.97624190064795
sooty,88.90712742980561
space,88.76889848812095
sorry,88.69114470842331
slime,88.4060475161987
grace,88.32829373650108
alone,88.29373650107992
brine,88.28509719222464
slant,88.25917926565874
shade,88.23326133909288
spire,87.98272138228941
stage,87.87041036717062
parse,87.83585313174947
slope,87.83585313174946
prose,87.792656587473
score,87.792656587473
flare,87.77537796976242
loose,87.76673866090712
eater,87.75809935205184
spore,87.74946004319654
plane,87.71490280777537
suave,87.65442764578833
glare,87.56803455723542
cause,87.55939524838013
safer,87.55939524838013
scene,87.53347732181426
shame,87.52483801295897
prone,87.45572354211663
sever,87.44708423326135
beret,87.42980561555076
corer,87.36069114470843
poise,87.2915766738661
elite,87.21382289416847
plate,87.1879049676026
shape,87.18790496760259
gooey,87.05831533477323
parer,87.01511879049676
tense,86.94600431965443
greet,86.86825053995682
steel,86.85097192224623
sally,86.83369330453563
skate,86.82505399568035
sewer,86.81641468682506
